V1	V(n001)	V(n002)	I(R1)
2.360000000000000e+00	2.360000e+00	1.466496e+00	1.466496e-01
2.370000000000000e+00	2.370000e+00	1.475690e+00	1.475690e-01
2.380000000000000e+00	2.380000e+00	1.484886e+00	1.484886e-01
2.390000000000000e+00	2.390000e+00	1.494084e+00	1.494084e-01
2.400000000000000e+00	2.400000e+00	1.503283e+00	1.503283e-01
2.410000000000000e+00	2.410000e+00	1.512484e+00	1.512484e-01
2.420000000000000e+00	2.420000e+00	1.521687e+00	1.521687e-01
2.430000000000000e+00	2.430000e+00	1.530891e+00	1.530891e-01
2.440000000000000e+00	2.440000e+00	1.540096e+00	1.540096e-01
2.450000000000000e+00	2.450000e+00	1.549303e+00	1.549303e-01
2.460000000000000e+00	2.460000e+00	1.558511e+00	1.558511e-01
2.470000000000000e+00	2.470000e+00	1.567721e+00	1.567721e-01
2.480000000000000e+00	2.480000e+00	1.576933e+00	1.576933e-01
2.490000000000000e+00	2.490000e+00	1.586145e+00	1.586145e-01
2.500000000000000e+00	2.500000e+00	1.595359e+00	1.595359e-01
2.510000000000000e+00	2.510000e+00	1.604575e+00	1.604575e-01
2.520000000000000e+00	2.520000e+00	1.613792e+00	1.613792e-01
2.530000000000000e+00	2.530000e+00	1.623010e+00	1.623010e-01
2.540000000000000e+00	2.540000e+00	1.632230e+00	1.632230e-01
2.550000000000000e+00	2.550000e+00	1.641451e+00	1.641451e-01
2.560000000000000e+00	2.560000e+00	1.650673e+00	1.650673e-01
2.570000000000000e+00	2.570000e+00	1.659897e+00	1.659897e-01
2.580000000000000e+00	2.580000e+00	1.669122e+00	1.669122e-01
2.590000000000000e+00	2.590000e+00	1.678348e+00	1.678348e-01
2.600000000000000e+00	2.600000e+00	1.687575e+00	1.687575e-01
2.610000000000000e+00	2.610000e+00	1.696804e+00	1.696804e-01
2.620000000000000e+00	2.620000e+00	1.706034e+00	1.706034e-01
2.630000000000000e+00	2.630000e+00	1.715265e+00	1.715265e-01
2.640000000000000e+00	2.640000e+00	1.724497e+00	1.724497e-01
2.650000000000000e+00	2.650000e+00	1.733731e+00	1.733731e-01
2.660000000000000e+00	2.660000e+00	1.742966e+00	1.742966e-01
2.670000000000000e+00	2.670000e+00	1.752201e+00	1.752201e-01
2.680000000000000e+00	2.680000e+00	1.761438e+00	1.761439e-01
2.690000000000000e+00	2.690000e+00	1.770677e+00	1.770677e-01
2.700000000000000e+00	2.700000e+00	1.779916e+00	1.779916e-01
2.710000000000000e+00	2.710000e+00	1.789157e+00	1.789157e-01
2.720000000000000e+00	2.720000e+00	1.798398e+00	1.798398e-01
2.730000000000000e+00	2.730000e+00	1.807641e+00	1.807641e-01
2.740000000000000e+00	2.740000e+00	1.816885e+00	1.816885e-01
2.750000000000000e+00	2.750000e+00	1.826130e+00	1.826130e-01
2.760000000000000e+00	2.760000e+00	1.835376e+00	1.835376e-01
2.770000000000000e+00	2.770000e+00	1.844623e+00	1.844623e-01
2.780000000000000e+00	2.780000e+00	1.853871e+00	1.853871e-01
2.790000000000000e+00	2.790000e+00	1.863120e+00	1.863120e-01
2.800000000000000e+00	2.800000e+00	1.872370e+00	1.872370e-01
2.810000000000000e+00	2.810000e+00	1.881621e+00	1.881621e-01
2.820000000000000e+00	2.820000e+00	1.890873e+00	1.890873e-01
2.830000000000000e+00	2.830000e+00	1.900127e+00	1.900127e-01
2.840000000000000e+00	2.840000e+00	1.909381e+00	1.909381e-01
2.850000000000000e+00	2.850000e+00	1.918636e+00	1.918636e-01
2.860000000000000e+00	2.860000e+00	1.927892e+00	1.927892e-01
2.870000000000000e+00	2.870000e+00	1.937149e+00	1.937149e-01
2.880000000000000e+00	2.880000e+00	1.946407e+00	1.946407e-01
2.890000000000000e+00	2.890000e+00	1.955666e+00	1.955666e-01
2.900000000000000e+00	2.900000e+00	1.964926e+00	1.964926e-01
